Semana,iPhone,android
2015-06-21,44,63
2015-06-28,48,68
2015-07-05,44,66
2015-07-12,38,60
2015-07-19,40,62
2015-07-26,44,57
2015-08-02,41,56
2015-08-09,40,57
2015-08-16,39,59
2015-08-23,39,54
2015-08-30,42,54
2015-09-06,57,57
2015-09-13,45,56
2015-09-20,44,59
2015-09-27,45,54
2015-10-04,44,59
2015-10-11,43,59
2015-10-18,43,54
2015-10-25,40,51
2015-11-01,43,56
2015-11-08,38,58
2015-11-15,43,54
2015-11-22,42,55
2015-11-29,47,54
2015-12-06,48,63
2015-12-13,50,64
2015-12-20,55,71
2015-12-27,50,78
2016-01-03,43,67
2016-01-10,45,65
2016-01-17,42,56
2016-01-24,38,57
2016-01-31,36,53
2016-02-07,35,53
2016-02-14,35,49
2016-02-21,38,51
2016-02-28,36,51
2016-03-06,35,44
2016-03-13,34,46
2016-03-20,54,62
2016-03-27,39,50
2016-04-03,38,46
2016-04-10,38,49
2016-04-17,37,43
2016-04-24,38,45
2016-05-01,34,46
2016-05-08,38,49
2016-05-15,36,44
2016-05-22,33,44
2016-05-29,32,46
2016-06-05,35,47
2016-06-12,35,49
2016-06-19,37,49
2016-06-26,39,48
2016-07-03,39,57
2016-07-10,37,65
2016-07-17,39,64
2016-07-24,38,54
2016-07-31,36,51
2016-08-07,35,47
2016-08-14,34,45
2016-08-21,33,45
2016-08-28,38,43
2016-09-04,79,42
2016-09-11,57,43
2016-09-18,46,44
2016-09-25,41,41
2016-10-02,40,42
2016-10-09,42,45
2016-10-16,44,43
2016-10-23,44,38
2016-10-30,42,38
2016-11-06,43,44
2016-11-13,44,43
2016-11-20,42,40
2016-11-27,39,42
2016-12-04,48,45
2016-12-11,47,46
2016-12-18,56,51
2016-12-25,57,57
2017-01-01,50,55
2017-01-08,48,51
2017-01-15,45,47
2017-01-22,40,47
2017-01-29,39,44
2017-02-05,35,41
2017-02-12,36,38
2017-02-19,36,37
2017-02-26,35,36
2017-03-05,35,35
2017-03-12,34,38
2017-03-19,37,40
2017-03-26,38,38
2017-04-02,35,34
2017-04-09,40,44
2017-04-16,36,33
2017-04-23,35,33
2017-04-30,36,36
2017-05-07,36,36
2017-05-14,36,35
2017-05-21,36,37
2017-05-28,38,37
2017-06-04,36,36
2017-06-11,40,38
2017-06-18,41,42
2017-06-25,42,40
2017-07-02,40,38
2017-07-09,36,34
2017-07-16,39,35
2017-07-23,38,35
2017-07-30,37,31
2017-08-06,38,33
2017-08-13,38,31
2017-08-20,37,35
2017-08-27,37,29
2017-09-03,38,30
2017-09-10,100,31
2017-09-17,50,30
2017-09-24,45,32
2017-10-01,43,32
2017-10-08,42,33
2017-10-15,43,34
2017-10-22,43,32
2017-10-29,45,31
2017-11-05,56,33
2017-11-12,48,32
2017-11-19,51,32
2017-11-26,53,34
2017-12-03,60,38
2017-12-10,58,36
2017-12-17,64,38
2017-12-24,74,45
2017-12-31,55,44
2018-01-07,56,39
2018-01-14,51,39
2018-01-21,52,36
2018-01-28,45,34
2018-02-04,42,33
2018-02-11,39,30
2018-02-18,42,28
2018-02-25,41,29
2018-03-04,39,28
2018-03-11,38,27
2018-03-18,40,32
2018-03-25,51,41
2018-04-01,43,32
2018-04-08,42,30
2018-04-15,43,30
2018-04-22,41,32
2018-04-29,44,30
2018-05-06,41,31
2018-05-13,42,32
2018-05-20,39,30
2018-05-27,39,29
2018-06-03,41,33
2018-06-10,40,34
2018-06-17,39,32
2018-06-24,42,33
2018-07-01,41,33
2018-07-08,43,33
2018-07-15,48,37
2018-07-22,44,33
2018-07-29,44,32
2018-08-05,46,39
2018-08-12,39,32
2018-08-19,40,34
2018-08-26,42,29
2018-09-02,40,28
2018-09-09,64,31
2018-09-16,52,36
2018-09-23,48,41
2018-09-30,43,47
2018-10-07,48,53
2018-10-14,44,39
2018-10-21,47,33
2018-10-28,47,30
2018-11-04,48,32
2018-11-11,51,34
2018-11-18,57,32
2018-11-25,55,35
2018-12-02,51,35
2018-12-09,54,35
2018-12-16,62,37
2018-12-23,68,44
2018-12-30,57,42
2019-01-06,56,38
2019-01-13,51,36
2019-01-20,47,35
2019-01-27,44,32
2019-02-03,41,30
2019-02-10,39,28
2019-02-17,39,27
2019-02-24,39,27
2019-03-03,39,27
2019-03-10,37,28
2019-03-17,41,29
2019-03-24,42,29
2019-03-31,40,26
2019-04-07,43,28
2019-04-14,47,36
2019-04-21,44,29
2019-04-28,40,27
2019-05-05,38,28
2019-05-12,41,28
2019-05-19,43,31
2019-05-26,42,29
2019-06-02,40,29
2019-06-09,40,27
2019-06-16,43,32
2019-06-23,44,33
2019-06-30,46,33
2019-07-07,46,30
2019-07-14,44,29
2019-07-21,43,28
2019-07-28,41,29
2019-08-04,43,29
2019-08-11,43,28
2019-08-18,40,29
2019-08-25,41,29
2019-09-01,45,28
2019-09-08,93,27
2019-09-15,60,26
2019-09-22,65,28
2019-09-29,56,28
2019-10-06,56,30
2019-10-13,58,30
2019-10-20,51,27
2019-10-27,48,26
2019-11-03,53,27
2019-11-10,55,27
2019-11-17,56,27
2019-11-24,64,28
2019-12-01,66,30
2019-12-08,65,32
2019-12-15,71,33
2019-12-22,78,38
2019-12-29,70,40
2020-01-05,63,34
2020-01-12,63,33
2020-01-19,57,31
2020-01-26,52,30
2020-02-02,49,27
2020-02-09,48,27
2020-02-16,46,28
2020-02-23,48,25
2020-03-01,44,25
2020-03-08,46,25
2020-03-15,41,29
2020-03-22,35,34
2020-03-29,38,33
2020-04-05,43,35
2020-04-12,52,34
2020-04-19,48,32
2020-04-26,47,33
2020-05-03,46,31
2020-05-10,48,30
2020-05-17,58,29
2020-05-24,58,31
2020-05-31,50,30
2020-06-07,50,28
2020-06-14,64,35
